zero_day,tot_seed,TAXA,INC,COLD,plate_num,8.28.18,8.29.18,8.30.18,8.31.18,9.3.18,9.5.18,9.7.18,9.9.18,9.12.18,9.14.18,9.16.18,9/17/18,8/18/18,9/20/18,9/21/18
8.27.18,10,Thalictrum dioicum,L,0,71,,,,,,,,,,,,,,,
8.27.18,10,Thalictrum dioicum,L,0,72,,,,,,,,,,,,,,,
8.27.18,20,Anemone virginana,H,0,73,,,,,,,4,14,16,17,17,19,19,19,19
8.27.18,20,Anemone virginana,H,0,74,,,,,,,5,8,14,18,18,18,18,18,18
8.27.18,20,Anemone virginana,H,0,75,,,,,,1,6,9,14,15,16,16,17,17,17
8.27.18,20,Anemone virginana,L,0,76,,,,,,,,1,4,8,12,13,13,13,14
8.27.18,20,Anemone virginana,L,0,77,,,,,,,,3,8,13,13,13,13,13,15
8.27.18,20,Anemone virginana,L,0,78,,,,,,,,1,6,10,12,12,12,12,12
8.27.18,10,Impatiens capensis,H,0,79,,,,,,,,,,,,,,,
8.27.18,10,Impatiens capensis,H,0,80,,,,,,,,,,,,,,,
8.27.18,10,Impatiens capensis,H,0,81,,,,,,,,,,,,,,,
8.27.18,10,Impatiens capensis,L,0,82,,,,,,,,,,,,,,,
8.27.18,10,Impatiens capensis,L,0,83,,,,,,,,,,,,,,,
8.27.18,10,Impatiens capensis,L,0,84,,,,,,,,,,,,,,,
