zero_day,tot_seed,TAXA,INC,COLD,plate_num,8/27/18,8/28/18,8/29/18,8/30/18,8/31/18,9/3/18,9/5/18,9/7/18,9/9/18,9/12/18,9/14/18,9/16/18,9/17/18,9/18/18,9/20/18,9/21/18,viable,chill_germ,mold,adj_total
8.27.18,20,Silene vulgaris,L,0,59,0,,,,2,10,15,18,20,20,20,20,20,20,20,20,0,,,
8.27.18,20,Silene vulgaris,L,0,60,0,,,,,10,15,16,17,17,17,17,17,18,18,18,2,,,
8.27.18,20,Eurbia diviricata,H,0,61,0,,,,,1,1,1,1,1,1,1,1,1,2,2,7,,8,17
8.27.18,20,Eurbia diviricata,H,0,62,0,,,,,,,1,2,2,2,2,2,2,2,2,11,,5,18
8.27.18,20,Eurbia diviricata,H,0,63,0,,,,,,,,,,,,,,,,13,,,13
8.27.18,20,Eurbia diviricata,L,0,64,0,,,,,,,,,1,1,2,2,2,2,2,13,,5,20
8.27.18,20,Eurbia diviricata,L,0,65,0,,,,,,,,,1,1,2,2,2,2,2,14,,2,18
8.27.18,20,Eurbia diviricata,L,0,66,0,,,,,,,,,,,,,,,,6,,10,16
8.27.18,10,Thalictrum dioicum,H,0,67,0,,,,,,,,,,,,,,,,1,,9,
8.27.18,10,Thalictrum dioicum,H,0,68,0,,,,,,,,,,,,,,,,4,,6,
8.27.18,10,Thalictrum dioicum,H,0,69,0,,,,,,,,,,,,,,,,5,,5,
8.27.18,10,Thalictrum dioicum,L,0,70,0,,,,,,,,,,,,,,,,9,,1,
8.27.18,10,Thalictrum dioicum,L,0,71,0,,,,,,,,,,,,,,,,6,,4,10
8.27.18,10,Thalictrum dioicum,L,0,72,0,,,,,,,,,,,,,,,,4,,6,
8.27.18,20,Anemone virginana,H,0,73,0,,,,,,,4,14,16,17,17,19,19,19,19,1,,,20
8.27.18,20,Anemone virginana,H,0,74,0,,,,,,,5,8,14,18,18,18,18,18,18,2,,,20
8.27.18,20,Anemone virginana,H,0,75,0,,,,,,1,6,9,14,15,16,16,17,17,17,0,,,17
8.27.18,20,Anemone virginana,L,0,76,0,,,,,,,,1,4,8,12,13,13,13,14,3,,,17
8.27.18,20,Anemone virginana,L,0,77,0,,,,,,,,3,8,13,13,13,13,13,15,3,,,18
8.27.18,20,Anemone virginana,L,0,78,0,,,,,,,,1,6,10,12,12,12,12,12,3,,,15
8.27.18,10,Impatiens capensis,H,0,79,0,,,,,,,,,,,,,,,,1,,9,
8.27.18,10,Impatiens capensis,H,0,80,0,,,,,,,,,,,,,,,,0,,10,
8.27.18,10,Impatiens capensis,H,0,81,0,,,,,,,,,,,,,,,,4,,8,10
8.27.18,10,Impatiens capensis,L,0,82,0,,,,,,,,,,,,,,,,0,,10,
8.27.18,10,Impatiens capensis,L,0,83,0,,,,,,,,,,,,,,,,,,,
8.27.18,10,Impatiens capensis,L,0,84,0,,,,,,,,,,,,,,,,,,,
