"","Taxa","INC","COLD","plate_num","date","viable","DAY","END","germination","mold","adj_total","force","germ_perc"
"71","Thalictrum dioicum","L","O",71,2018-01-01,6,-Inf,0,0,4,6,20,0
"72","Thalictrum dioicum","L","O",72,2018-01-01,4,-Inf,0,0,6,4,20,0
"73","Anemone virginana","H","O",73,2018-01-01,1,-Inf,0,0,0,20,25,0
"74","Anemone virginana","H","O",74,2018-01-01,2,-Inf,0,0,0,20,25,0
"75","Anemone virginana","H","O",75,2018-01-01,0,-Inf,0,0,0,17,25,0
"76","Anemone virginana","L","O",76,2018-01-01,3,-Inf,0,0,0,17,20,0
"77","Anemone virginana","L","O",77,2018-01-01,3,-Inf,0,0,0,18,20,0
"78","Anemone virginana","L","O",78,2018-01-01,3,-Inf,0,0,0,15,20,0
"79","Impatiens capensis","H","O",79,2018-01-01,1,-Inf,0,0,9,10,25,0
"80","Impatiens capensis","H","O",80,2018-01-01,0,-Inf,0,0,10,10,25,0
"81","Impatiens capensis","H","O",81,2018-01-01,4,-Inf,0,0,8,10,25,0
"82","Impatiens capensis","L","O",82,2018-01-01,0,-Inf,0,0,10,10,20,0
"83","Impatiens capensis","L","O",83,2018-01-01,0,-Inf,0,0,0,10,20,0
"84","Impatiens capensis","L","O",84,2018-01-01,0,-Inf,0,0,0,10,20,0
"85","Oenethera biennis","L","A",85,2018-01-01,1,-Inf,0,0,0,20,20,0
"86","Oenethera biennis","L","A",86,2018-01-01,3,-Inf,0,0,0,13,20,0
"87","Oenethera biennis","H","A",87,2018-01-01,2,-Inf,0,0,0,16,25,0
"88","Oenethera biennis","H","A",88,2018-01-01,5,-Inf,0,0,0,13,25,0
"89","Oenethera biennis","H","A",89,2018-01-01,2,-Inf,0,0,0,15,25,0
"90","Oenethera biennis","L","A",90,2018-01-01,1,-Inf,0,0,0,14,20,0
"91","Asclepias syriaca","L","A",133,2018-01-01,3,-Inf,0,0,0,20,20,0
"92","Asclepias syriaca","L","A",134,2018-01-01,6,-Inf,0,0,0,20,20,0
"93","Asclepias syriaca","L","A",135,2018-01-01,2,-Inf,0,0,0,22,20,0
"94","Asclepias syriaca","H","A",136,2018-01-01,2,-Inf,0,0,0,19,25,0
"95","Asclepias syriaca","H","A",137,2018-01-01,2,-Inf,0,0,0,20,25,0
"96","Asclepias syriaca","H","A",138,2018-01-01,1,-Inf,0,0,3,17,25,0
"97","Cryptotaenia canadensis","L","A",181,2018-01-01,16,-Inf,0,0,0,20,20,0
"98","Cryptotaenia canadensis","L","A",182,2018-01-01,16,-Inf,0,0,0,16,20,0
"99","Cryptotaenia canadensis","L","A",183,2018-01-01,11,-Inf,0,0,0,19,20,0
"100","Cryptotaenia canadensis","H","A",184,2018-01-01,19,-Inf,0,0,0,19,25,0
"101","Cryptotaenia canadensis","H","A",185,2018-01-01,19,-Inf,0,0,0,20,25,0
"102","Cryptotaenia canadensis","H","A",186,2018-01-01,18,-Inf,0,0,0,19,25,0
"103","Eurbia diviricata","L","A",247,2018-01-01,12,-Inf,0,0,0,17,20,0
"104","Eurbia diviricata","L","A",248,2018-01-01,10,-Inf,0,0,0,12,20,0
"105","Eurbia diviricata","L","A",249,2018-01-01,8,-Inf,0,0,5,9,20,0
"106","Eurbia diviricata","H","A",250,2018-01-01,7,-Inf,0,0,2,13,25,0
"107","Eurbia diviricata","H","A",251,2018-01-01,11,-Inf,0,0,0,13,25,0
"108","Eurbia diviricata","H","A",252,2018-01-01,9,-Inf,0,0,0,12,25,0
"109","Hesperis matronalis","L","A",301,2018-01-01,4,-Inf,0,0,0,19,20,0
"110","Hesperis matronalis","L","A",302,2018-01-01,2,-Inf,0,0,0,21,20,0
"111","Hesperis matronalis","L","A",303,2018-01-01,2,-Inf,0,0,0,17,20,0
"112","Hesperis matronalis","H","A",304,2018-01-01,0,-Inf,0,0,0,20,25,0
"113","Hesperis matronalis","H","A",305,2018-01-01,0,-Inf,0,0,0,20,25,0
"114","Hesperis matronalis","H","A",306,2018-01-01,0,-Inf,0,0,0,20,25,0
"115","Polygonum virginiatum","L","A",379,2018-01-01,20,-Inf,0,0,0,20,20,0
"116","Polygonum virginiatum","L","A",380,2018-01-01,20,-Inf,0,0,0,20,20,0
"117","Polygonum virginiatum","L","A",381,2018-01-01,20,-Inf,0,0,0,20,20,0
"118","Polygonum virginiatum","H","A",382,2018-01-01,19,-Inf,0,0,1,19,25,0
"119","Polygonum virginiatum","H","A",383,2018-01-01,19,-Inf,0,0,1,19,25,0
"120","Polygonum virginiatum","H","A",384,2018-01-01,16,-Inf,0,0,4,16,25,0
"121","Carex grisea","L","A",427,2018-01-01,20,-Inf,0,0,0,20,20,0
"122","Carex grisea","L","A",428,2018-01-01,20,-Inf,0,0,0,20,20,0
"123","Carex grisea","H","A",429,2018-01-01,18,-Inf,0,0,1,19,25,0
"124","Carex grisea","H","A",430,2018-01-01,18,-Inf,0,0,1,19,25,0
"125","Silene vulgaris","L","A",466,2018-01-01,2,-Inf,0,0,0,18,20,0
"126","Silene vulgaris","L","A",467,2018-01-01,9,-Inf,0,0,0,20,20,0
"127","Silene vulgaris","L","A",468,2018-01-01,4,-Inf,0,0,0,20,20,0
"128","Silene vulgaris","H","A",469,2018-01-01,6,-Inf,0,0,0,18,25,0
"129","Silene vulgaris","H","A",470,2018-01-01,4,-Inf,0,0,0,17,25,0
"130","Silene vulgaris","H","A",471,2018-01-01,3,-Inf,0,0,0,18,25,0
"131","Silene stellata","L","A",520,2018-01-01,19,-Inf,0,0,0,22,20,0
"132","Silene stellata","L","A",521,2018-01-01,17,-Inf,0,0,0,21,20,0
"133","Silene stellata","L","A",522,2018-01-01,16,-Inf,0,0,0,20,20,0
"134","Silene stellata","H","A",523,2018-01-01,18,-Inf,0,0,0,20,25,0
"135","Silene stellata","H","A",524,2018-01-01,18,-Inf,0,0,0,19,25,0
"136","Silene stellata","H","A",525,2018-01-01,19,-Inf,0,0,0,21,25,0
"137","Anemone virginana","L","A",574,2018-01-01,6,-Inf,0,0,1,18,20,0
"138","Anemone virginana","L","A",575,2018-01-01,5,-Inf,0,0,0,21,20,0
"139","Anemone virginana","L","A",576,2018-01-01,5,-Inf,0,0,0,20,20,0
"140","Anemone virginana","H","A",577,2018-01-01,3,-Inf,0,0,1,19,25,0
"141","Anemone virginana","H","A",578,2018-01-01,2,-Inf,0,0,0,20,25,0
"142","Anemone virginana","H","A",579,2018-01-01,2,-Inf,0,0,0,19,25,0
"143","Thalictrum dioicum","L","A",628,2018-01-01,9,-Inf,0,0,6,9,20,0
"144","Thalictrum dioicum","L","A",629,2018-01-01,8,-Inf,0,0,0,11,20,0
"145","Thalictrum dioicum","L","A",630,2018-01-01,7,-Inf,0,0,0,13,20,0
"146","Thalictrum dioicum","H","A",631,2018-01-01,13,-Inf,0,0,2,13,25,0
"147","Thalictrum dioicum","H","A",632,2018-01-01,8,-Inf,0,0,5,9,25,0
"148","Thalictrum dioicum","H","A",633,2018-01-01,8,-Inf,0,0,6,9,25,0
"149","Impatiens capensis","L","A",676,2018-01-01,0,-Inf,0,0,10,10,20,0
"150","Impatiens capensis","L","A",677,2018-01-01,1,-Inf,0,0,9,10,20,0
"151","Impatiens capensis","H","A",678,2018-01-01,0,-Inf,0,0,10,10,25,0
"152","Impatiens capensis","H","A",679,2018-01-01,1,-Inf,0,0,9,10,25,0
"153","Phlox cuspidata","L","A",712,2018-01-01,4,-Inf,0,0,0,13,20,0
"154","Phlox cuspidata","L","A",713,2018-01-01,5,-Inf,0,0,0,15,20,0
"155","Phlox cuspidata","H","A",714,2018-01-01,6,-Inf,0,0,0,14,25,0
"156","Phlox cuspidata","H","A",715,2018-01-01,7,-Inf,0,0,0,11,25,0
"157","Oenethera biennis","L","B",91,2018-01-01,1,-Inf,0,0,0,9,20,0
"158","Oenethera biennis","L","B",92,2018-01-01,0,-Inf,0,0,6,14,20,0
"159","Oenethera biennis","L","B",93,2018-01-01,0,-Inf,0,0,2,15,20,0
"160","Oenethera biennis","H","B",94,2018-01-01,0,-Inf,0,0,0,10,25,0
"161","Oenethera biennis","H","B",95,2018-01-01,2,-Inf,0,0,3,11,25,0
"162","Oenethera biennis","H","B",96,2018-01-01,2,-Inf,0,0,0,14,25,0
"163","Asclepias syriaca","L","B",139,2018-01-01,2,-Inf,0,0,0,20,20,0
"164","Asclepias syriaca","L","B",140,2018-01-01,1,-Inf,0,0,0,19,20,0
"165","Asclepias syriaca","L","B",141,2018-01-01,1,-Inf,0,0,0,21,20,0
"166","Asclepias syriaca","H","B",142,2018-01-01,0,-Inf,0,0,0,19,25,0
"167","Asclepias syriaca","H","B",143,2018-01-01,1,-Inf,0,0,0,18,25,0
"168","Asclepias syriaca","H","B",144,2018-01-01,0,-Inf,0,0,0,20,25,0
"169","Cryptotaenia canadensis","L","B",187,2018-01-01,1,-Inf,0,0,1,20,20,0
"170","Cryptotaenia canadensis","L","B",188,2018-01-01,14,-Inf,0,0,0,20,20,0
"171","Cryptotaenia canadensis","L","B",189,2018-01-01,10,-Inf,0,0,0,20,20,0
"172","Cryptotaenia canadensis","H","B",190,2018-01-01,15,-Inf,0,0,3,18,25,0
"173","Cryptotaenia canadensis","H","B",191,2018-01-01,15,-Inf,0,0,1,21,25,0
"174","Cryptotaenia canadensis","H","B",192,2018-01-01,15,-Inf,0,0,3,17,25,0
"175","Eurbia diviricata","L","B",253,2018-01-01,5,-Inf,0,0,7,13,20,0
"176","Eurbia diviricata","L","B",254,2018-01-01,6,-Inf,0,0,3,15,20,0
"177","Eurbia diviricata","L","B",255,2018-01-01,7,-Inf,0,0,2,15,20,0
"178","Eurbia diviricata","H","B",256,2018-01-01,3,-Inf,0,0,7,7,25,0
"179","Eurbia diviricata","H","B",257,2018-01-01,4,-Inf,0,0,5,13,25,0
"180","Eurbia diviricata","H","B",258,2018-01-01,4,-Inf,0,0,8,10,25,0
"181","Hesperis matronalis","L","B",307,2018-01-01,2,-Inf,0,0,0,20,20,0
"182","Hesperis matronalis","L","B",308,2018-01-01,2,-Inf,0,0,0,19,20,0
"183","Hesperis matronalis","L","B",309,2018-01-01,6,-Inf,0,0,0,20,20,0
"184","Hesperis matronalis","H","B",310,2018-01-01,0,-Inf,0,0,0,19,25,0
"185","Hesperis matronalis","H","B",311,2018-01-01,0,-Inf,0,0,0,19,25,0
"186","Hesperis matronalis","H","B",312,2018-01-01,0,-Inf,0,0,0,20,25,0
"187","Carex grayi","L","B",355,2018-01-01,0,-Inf,0,0,0,20,20,0
"188","Carex grayi","L","B",356,2018-01-01,0,-Inf,0,0,0,20,20,0
"189","Carex grayi","H","B",357,2018-01-01,0,-Inf,0,0,0,20,25,0
"190","Carex grayi","H","B",358,2018-01-01,0,-Inf,0,0,0,20,25,0
"191","Polygonum virginiatum","L","B",385,2018-01-01,17,-Inf,0,0,0,20,20,0
"192","Polygonum virginiatum","L","B",386,2018-01-01,17,-Inf,0,0,0,21,20,0
"193","Polygonum virginiatum","L","B",387,2018-01-01,18,-Inf,0,0,2,19,20,0
"194","Polygonum virginiatum","H","B",388,2018-01-01,18,-Inf,0,0,1,19,25,0
