zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/8/18,10/10/18,10/12/18,10/14/18,10/15/18,10/17/18,10/19/18,10/21/18,10/22/18,10/24/18,10/26/18,10/28/18,10/29/18,10/31/18,11/2/18,viable,chill_germ,mold,adj_total
10/8/18,,Anemone virginana,H,D,592,0,,,,,2,8,16,17,18,19,20,20,20,20,1,,,21
10/8/18,,Anemone virginana,H,D,593,0,,,,,,1,3,4,13,16,18,18,20,21,,,,21
10/8/18,,Anemone virginana,H,D,594,0,,,,1,4,5,10,11,13,16,16,16,16,16,2,,,18
10/8/18,,Anemone virginana,L,D,595,0,,,,,,5,7,9,15,20,20,20,20,20,,,,
10/8/18,,Anemone virginana,L,D,596,0,,,,,,,,1,4,11,14,16,16,18,3,,,21
10/8/18,,Anemone virginana,L,D,597,0,,,,,1,1,3,5,9,15,17,18,20,20,,,,
10/8/18,,Thalictrum dioicum,H,D,646,0,,,,,,1,1,1,1,1,1,1,1,1,9,,5,
10/8/18,,Thalictrum dioicum,H,D,647,0,,,,,1,1,1,1,1,1,1,1,1,1,8,,6,
10/8/18,,Thalictrum dioicum,H,D,648,0,,,,,,,1,1,1,2,2,2,2,2,6,,7,
10/8/18,,Thalictrum dioicum,L,D,649,0,,,,,,1,1,1,1,1,1,1,1,1,11,,4,
10/8/18,,Thalictrum dioicum,L,D,650,0,,,,,1,1,2,4,5,5,5,5,5,5,6,,4,
10/8/18,,Thalictrum dioicum,L,D,651,0,,,,,,1,1,1,1,1,2,2,2,2,4,,9,
10/8/18,,Impatiens capensis,H,D,688,0,,,,,,,,,,,,,,,,,10,
10/8/18,,Impatiens capensis,H,D,689,0,,,,,,,,,,,,,,,1,,9,
10/8/18,,Impatiens capensis,L,D,690,0,,,,,,,,,,,,,,,,,,
10/8/18,,Impatiens capensis,L,D,691,0,,,,,,,,,,,,,,,,,,
10/8/18,,Phlox cuspidata,H,D,724,0,,,,,,,,,,,,,,,4,7,,
10/8/18,,Phlox cuspidata,H,D,725,0,,,,,1,1,1,1,1,1,1,1,1,1,5,8,1,
10/8/18,,Phlox cuspidata,L,D,726,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,5,,
10/8/18,,Phlox cuspidata,L,D,727,0,,,,,,,,,,,,,,,4,10,1,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
