"","zero_day","tot_seed","Taxa","INC","COLD","plate_num","viable","chill_germ","mold","adj_total","date","germ_num","day","DAY","germ.daily"
"1","8.27.18",20,"Oenethera biennis","H","0",1,5,0,0,20,2018-08-27,0,239,0,0
"2","8.27.18",20,"Oenethera biennis","H","0",2,3,0,2,18,2018-08-27,0,239,0,0
"3","8.27.18",20,"Oenethera biennis","H","0",3,1,0,0,18,2018-08-27,0,239,0,0
"4","8.27.18",20,"Oenethera biennis","L","0",4,3,0,2,15,2018-08-27,0,239,0,0
"5","8.27.18",20,"Oenethera biennis","L","0",5,8,0,0,12,2018-08-27,0,239,0,0
"6","8.27.18",20,"Oenethera biennis","L","0",6,2,0,0,13,2018-08-27,0,239,0,0
"7","8.27.18",20,"Cryptotaenia canadensis","H","0",7,19,0,0,19,2018-08-27,0,239,0,0
"8","8.27.18",20,"Cryptotaenia canadensis","H","0",8,16,0,2,16,2018-08-27,0,239,0,0
"9","8.27.18",20,"Cryptotaenia canadensis","H","0",9,14,0,1,18,2018-08-27,0,239,0,0
"10","8.27.18",20,"Cryptotaenia canadensis","L","0",10,19,0,0,19,2018-08-27,0,239,0,0
"11","8.27.18",20,"Cryptotaenia canadensis","L","0",11,19,0,2,19,2018-08-27,0,239,0,0
"12","8.27.18",20,"Cryptotaenia canadensis","L","0",12,18,0,0,18,2018-08-27,0,239,0,0
"13","8.27.18",20,"Hesperis matronalis","H","0",13,3,0,0,19,2018-08-27,0,239,0,0
"14","8.27.18",20,"Hesperis matronalis","H","0",14,4,0,0,19,2018-08-27,0,239,0,0
"15","8.27.18",20,"Hesperis matronalis","H","0",15,4,0,0,20,2018-08-27,0,239,0,0
"16","8.27.18",20,"Hesperis matronalis","L","0",16,8,0,0,20,2018-08-27,0,239,0,0
"17","8.27.18",20,"Hesperis matronalis","L","0",17,3,0,0,20,2018-08-27,0,239,0,0
"18","8.27.18",20,"Hesperis matronalis","L","0",18,4,0,0,20,2018-08-27,0,239,0,0
"19","8.27.18",20,"Polygonum virginiatum","H","0",19,15,0,5,15,2018-08-27,0,239,0,0
"20","8.27.18",20,"Polygonum virginiatum","H","0",20,18,0,0,18,2018-08-27,0,239,0,0
"21","8.27.18",20,"Polygonum virginiatum","H","0",21,19,0,1,19,2018-08-27,0,239,0,0
"22","8.27.18",20,"Polygonum virginiatum","L","0",22,20,0,0,20,2018-08-27,0,239,0,0
"23","8.27.18",20,"Polygonum virginiatum","L","0",23,20,0,0,20,2018-08-27,0,239,0,0
"24","8.27.18",20,"Polygonum virginiatum","L","0",24,18,0,2,18,2018-08-27,0,239,0,0
"25","8.27.18",20,"Asclepias syriaca","H","0",25,3,0,1,17,2018-08-27,0,239,0,0
"26","8.27.18",20,"Asclepias syriaca","H","0",26,15,0,0,20,2018-08-27,0,239,0,0
"27","8.27.18",20,"Asclepias syriaca","H","0",27,3,0,0,18,2018-08-27,0,239,0,0
"28","8.27.18",20,"Asclepias syriaca","L","0",28,8,0,0,16,2018-08-27,0,239,0,0
"29","8.27.18",20,"Asclepias syriaca","L","0",29,15,0,0,21,2018-08-27,0,239,0,0
"30","8.27.18",20,"Asclepias syriaca","L","0",30,11,0,0,15,2018-08-27,0,239,0,0
"31","8.27.18",20,"Carex grayi","H","0",31,18,0,0,18,2018-08-27,0,239,0,0
"32","8.27.18",20,"Carex grayi","H","0",32,19,0,0,20,2018-08-27,0,239,0,0
"33","8.27.18",20,"Carex grayi","H","0",33,18,0,1,19,2018-08-27,0,239,0,0
"34","8.27.18",20,"Carex grayi","L","0",34,20,0,0,20,2018-08-27,0,239,0,0
"35","8.27.18",20,"Carex grayi","L","0",35,19,0,1,19,2018-08-27,0,239,0,0
"36","8.27.18",20,"Carex grayi","L","0",36,20,0,0,20,2018-08-27,0,239,0,0
"37","8.27.18",20,"Carex grisea","H","0",37,13,0,0,13,2018-08-27,0,239,0,0
"38","8.27.18",20,"Carex grisea","H","0",38,19,0,1,19,2018-08-27,0,239,0,0
"39","8.27.18",20,"Carex grisea","H","0",39,20,0,0,20,2018-08-27,0,239,0,0
"40","8.27.18",20,"Carex grisea","L","0",40,17,0,0,17,2018-08-27,0,239,0,0
"41","8.27.18",20,"Carex grisea","L","0",41,16,0,0,16,2018-08-27,0,239,0,0
"42","8.27.18",20,"Carex grisea","L","0",42,17,0,2,17,2018-08-27,0,239,0,0
"43","8.27.18",10,"Phlox cuspidata","H","0",43,7,0,0,8,2018-08-27,0,239,0,0
