"","Taxa","INC","COLD","plate_num","date","DAY","germinated","chill_time","warmT"
"270.4","Hesperis matronalis","L","0",18,"2018-08-30",3,1,0,20
"270.5","Hesperis matronalis","L","0",18,"2018-08-30",3,1,0,20
"270.6","Hesperis matronalis","L","0",18,"2018-08-30",3,1,0,20
"270.7","Hesperis matronalis","L","0",18,"2018-08-30",3,1,0,20
"270.8","Hesperis matronalis","L","0",18,"2018-08-30",3,1,0,20
"278","Asclepias syriaca","H","0",26,"2018-08-30",3,1,0,25
"305","Silene stellata","L","0",53,"2018-08-30",3,1,0,20
"337","Oenethera biennis","H","0",1,"2018-08-31",4,1,0,25
"337.1","Oenethera biennis","H","0",1,"2018-08-31",4,1,0,25
"338","Oenethera biennis","H","0",2,"2018-08-31",4,1,0,25
"338.1","Oenethera biennis","H","0",2,"2018-08-31",4,1,0,25
"338.2","Oenethera biennis","H","0",2,"2018-08-31",4,1,0,25
"339","Oenethera biennis","H","0",3,"2018-08-31",4,1,0,25
"339.1","Oenethera biennis","H","0",3,"2018-08-31",4,1,0,25
"341","Oenethera biennis","L","0",5,"2018-08-31",4,1,0,20
"352","Hesperis matronalis","L","0",16,"2018-08-31",4,1,0,20
"352.1","Hesperis matronalis","L","0",16,"2018-08-31",4,1,0,20
"352.2","Hesperis matronalis","L","0",16,"2018-08-31",4,1,0,20
"352.3","Hesperis matronalis","L","0",16,"2018-08-31",4,1,0,20
"353","Hesperis matronalis","L","0",17,"2018-08-31",4,1,0,20
"353.1","Hesperis matronalis","L","0",17,"2018-08-31",4,1,0,20
"353.2","Hesperis matronalis","L","0",17,"2018-08-31",4,1,0,20
"353.3","Hesperis matronalis","L","0",17,"2018-08-31",4,1,0,20
"353.4","Hesperis matronalis","L","0",17,"2018-08-31",4,1,0,20
"385","Silene stellata","H","0",49,"2018-08-31",4,1,0,25
"395","Silene vulgaris","L","0",59,"2018-08-31",4,1,0,20
"395.1","Silene vulgaris","L","0",59,"2018-08-31",4,1,0,20
"421","Oenethera biennis","H","0",1,"2018-09-03",7,1,0,25
"421.1","Oenethera biennis","H","0",1,"2018-09-03",7,1,0,25
"421.2","Oenethera biennis","H","0",1,"2018-09-03",7,1,0,25
"421.3","Oenethera biennis","H","0",1,"2018-09-03",7,1,0,25
"421.4","Oenethera biennis","H","0",1,"2018-09-03",7,1,0,25
"422","Oenethera biennis","H","0",2,"2018-09-03",7,1,0,25
"422.1","Oenethera biennis","H","0",2,"2018-09-03",7,1,0,25
"423","Oenethera biennis","H","0",3,"2018-09-03",7,1,0,25
"423.1","Oenethera biennis","H","0",3,"2018-09-03",7,1,0,25
"423.2","Oenethera biennis","H","0",3,"2018-09-03",7,1,0,25
"424","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"424.1","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"424.2","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"424.3","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"424.4","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"424.5","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"424.6","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"424.7","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"424.8","Oenethera biennis","L","0",4,"2018-09-03",7,1,0,20
"425","Oenethera biennis","L","0",5,"2018-09-03",7,1,0,20
"425.1","Oenethera biennis","L","0",5,"2018-09-03",7,1,0,20
"425.2","Oenethera biennis","L","0",5,"2018-09-03",7,1,0,20
"426","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.1","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.2","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.3","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.4","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.5","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.6","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.7","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.8","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"426.9","Oenethera biennis","L","0",6,"2018-09-03",7,1,0,20
"435","Hesperis matronalis","H","0",15,"2018-09-03",7,1,0,25
"435.1","Hesperis matronalis","H","0",15,"2018-09-03",7,1,0,25
"435.2","Hesperis matronalis","H","0",15,"2018-09-03",7,1,0,25
"435.3","Hesperis matronalis","H","0",15,"2018-09-03",7,1,0,25
"436","Hesperis matronalis","L","0",16,"2018-09-03",7,1,0,20
"436.1","Hesperis matronalis","L","0",16,"2018-09-03",7,1,0,20
"437","Hesperis matronalis","L","0",17,"2018-09-03",7,1,0,20
"437.1","Hesperis matronalis","L","0",17,"2018-09-03",7,1,0,20
"437.2","Hesperis matronalis","L","0",17,"2018-09-03",7,1,0,20
"438","Hesperis matronalis","L","0",18,"2018-09-03",7,1,0,20
"438.1","Hesperis matronalis","L","0",18,"2018-09-03",7,1,0,20
"438.2","Hesperis matronalis","L","0",18,"2018-09-03",7,1,0,20
"445","Asclepias syriaca","H","0",25,"2018-09-03",7,1,0,25
"445.1","Asclepias syriaca","H","0",25,"2018-09-03",7,1,0,25
"446","Asclepias syriaca","H","0",26,"2018-09-03",7,1,0,25
"446.1","Asclepias syriaca","H","0",26,"2018-09-03",7,1,0,25
"447","Asclepias syriaca","H","0",27,"2018-09-03",7,1,0,25
"447.1","Asclepias syriaca","H","0",27,"2018-09-03",7,1,0,25
"447.2","Asclepias syriaca","H","0",27,"2018-09-03",7,1,0,25
"447.3","Asclepias syriaca","H","0",27,"2018-09-03",7,1,0,25
"449","Asclepias syriaca","L","0",29,"2018-09-03",7,1,0,20
"469","Silene stellata","H","0",49,"2018-09-03",7,1,0,25
"471","Silene stellata","H","0",51,"2018-09-03",7,1,0,25
"474","Silene stellata","L","0",54,"2018-09-03",7,1,0,20
"474.1","Silene stellata","L","0",54,"2018-09-03",7,1,0,20
