zero_day,tot_seed,TAXA,INC,COLD,plate_num,9/24/18,9/26/18,9/28/18,9/30/18,10/3/18,10/5/18,10/7/18,10/8/18,10/10/18,10/12/18,10/14/18,10/15/18,10/17/18,10/19/18,viable,chill_germ,mold,adj_total
9/24/18,20,Anemone virginana,L,B,582,0,,,,,1,1,1,7,8,11,14,15,16,2,,1,
9/24/18,20,Anemone virginana,H,B,583,0,,,,1,4,5,5,9,10,14,15,16,16,5,,,21
9/24/18,20,Anemone virginana,H,B,584,0,,,,3,3,6,7,10,15,15,15,15,15,4,,,
9/24/18,20,Anemone virginana,H,B,585,0,,,,,3,9,9,13,14,17,18,19,20,,,,
9/24/18,15,Thalictrum dioicum,L,B,634,0,,,,,,,,,,,3,4,4,8,,7,
9/24/18,15,Thalictrum dioicum,L,B,635,0,,,,,,,,1,2,2,3,3,4,8,,6,
9/24/18,15,Thalictrum dioicum,L,B,636,0,,,,,,,,,2,2,2,2,2,7,,6,
9/24/18,15,Thalictrum dioicum,H,B,637,0,,,,,,,,,,3,3,3,3,9,,3,
9/24/18,15,Thalictrum dioicum,H,B,638,0,,,,,,,,,,,,1,1,3,,11,
9/24/18,15,Thalictrum dioicum,H,B,639,0,,,,,,,,,,2,3,3,3,4,,8,
9/24/18,10,Impatiens capensis,L,B,680,0,,,,,,,,,,,,,,,,10,
9/24/18,10,Impatiens capensis,L,B,681,0,,,,1,1,1,1,1,1,1,1,1,1,2,,7,
9/24/18,10,Impatiens capensis,H,B,682,0,,,,,,,,,,,,,,1,,9,
9/24/18,10,Impatiens capensis,L,B,683,0,,,,,,,,,,,,,,2,,,
9/24/18,15,Phlox cuspidata,L,B,716,0,9,9,9,9,9,9,9,9,9,9,9,9,9,2,,,11
9/24/18,15,Phlox cuspidata,L,B,717,0,6,7,7,7,7,7,7,7,7,7,7,7,7,3,,,10
9/24/18,15,Phlox cuspidata,H,B,718,0,9,10,10,10,10,10,10,10,10,10,10,10,10,4,,,14
9/24/18,15,Phlox cuspidata,H,B,719,0,8,8,8,9,9,9,9,9,9,9,9,9,9,2,,,11
