zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/10/18,10/12/18,10/14/18,10/15/18,10/17/18,10/19/18,10/21/18,10/22/18,10/24/18,viable,chill_germ,mold,adj_total
10/8/18,,Oenethera biennis,H,D,103,8,12,12,12,12,12,12,12,12,,,,
10/8/18,,Oenethera biennis,H,D,104,8,14,16,16,16,16,16,16,16,,,,
10/8/18,,Oenethera biennis,H,D,105,12,17,17,17,17,17,17,17,17,,,,
10/8/18,,Oenethera biennis,L,D,106,,16,16,16,17,18,18,18,18,,,,
10/8/18,,Oenethera biennis,L,D,107,,13,14,14,15,15,15,15,15,,,,
10/8/18,,Oenethera biennis,L,D,108,1,8,14,15,15,15,15,15,16,,,,
10/8/18,,Asclepias syriaca,H,D,151,2,10,16,16,16,17,19,20,20,,,,
10/8/18,,Asclepias syriaca,H,D,152,2,15,20,20,20,20,21,21,21,,,,
10/8/18,,Asclepias syriaca,H,D,153,,13,13,14,20,20,20,20,20,,,,
10/8/18,,Asclepias syriaca,L,D,154,,,3,3,4,8,13,13,14,,,,
10/8/18,,Asclepias syriaca,L,D,155,,,,4,8,10,14,17,19,,,,
10/8/18,,Asclepias syriaca,L,D,156,,,8,15,17,20,20,20,20,,,,
10/8/18,,Cryptotaenia canadensis,H,D,199,,1,2,6,8,8,8,8,8,,,,
10/8/18,,Cryptotaenia canadensis,H,D,200,,,,,5,5,5,5,5,,,,
10/8/18,,Cryptotaenia canadensis,H,D,201,,,,,,,,,,,,,
10/8/18,,Cryptotaenia canadensis,L,D,202,,,1,8,10,11,12,12,13,,,,
10/8/18,,Cryptotaenia canadensis,L,D,203,,1,4,10,11,15,15,15,15,,,,
10/8/18,,Cryptotaenia canadensis,L,D,204,,,3,13,15,17,18,18,18,,,,
10/8/18,,Eurbia diviricata,H,D,265,,1,4,5,7,7,9,10,11,,,,
10/8/18,,Eurbia diviricata,H,D,266,,1,2,2,5,5,6,6,7,,,,
10/8/18,,Eurbia diviricata,H,D,267,1,3,4,4,5,6,6,7,7,,,,
10/8/18,,Eurbia diviricata,L,D,268,,,1,3,3,5,7,7,7,,,,
10/8/18,,Eurbia diviricata,L,D,269,,,,,2,2,3,4,4,,,,
10/8/18,,Eurbia diviricata,L,D,270,,,,,,2,4,6,6,,,,
10/8/18,,Hesperis matronalis,H,D,319,19,20,20,20,20,20,20,20,20,,,,
10/8/18,,Hesperis matronalis,H,D,320,18,18,18,18,18,18,18,18,18,,1,,
10/8/18,,Hesperis matronalis,H,D,321,19,19,19,19,19,19,19,19,19,,3,,
10/8/18,,Hesperis matronalis,L,D,322,14,18,18,18,18,18,18,18,18,,2,,
10/8/18,,Hesperis matronalis,L,D,323,19,19,19,19,19,20,20,20,20,,1,,
10/8/18,,Hesperis matronalis,L,D,324,17,17,17,17,17,17,17,17,17,,1,,
10/8/18,,Carex grayi,H,D,359,,,,,,,,,,,,,
10/8/18,,Carex grayi,H,D,360,,,,,,,,,,,,,
10/8/18,,Carex grayi,L,D,361,,,,,,,,,,,,,
10/8/18,,Carex grayi,L,D,362,,,,,,,,,,,,,
10/8/18,,Polygonum virginiatum,H,D,397,,,,,,,1,1,3,,,,
10/8/18,,Polygonum virginiatum,H,D,398,,,,,,1,1,2,2,,,,
10/8/18,,Polygonum virginiatum,H,D,399,,,,1,1,2,3,3,3,,,,
10/8/18,,Polygonum virginiatum,L,D,400,,,,2,2,4,5,8,11,,,,
10/8/18,,Polygonum virginiatum,L,D,401,,,,,2,3,3,6,8,,,,
10/8/18,,Polygonum virginiatum,L,D,402,,,,2,,,3,3,3,,,,
10/8/18,,Carex grisea,H,D,439,,1,1,1,1,1,1,1,1,,,,
10/8/18,,Carex grisea,H,D,440,,,,,,,,,,,,,
10/8/18,,Carex grisea,L,D,441,,,,,,,,,,,,,
10/8/18,,Carex grisea,L,D,442,,2,2,2,2,2,2,2,2,,,,
10/8/18,,Silene vulgaris,H,D,484,2,5,8,8,9,13,14,14,17,,,,
10/8/18,,Silene vulgaris,H,D,485,1,7,13,14,17,18,18,18,18,,,,
10/8/18,,Silene vulgaris,H,D,486,1,6,9,11,13,13,13,13,13,,,,
