,chill_time,force,scenario,Estimate,Est.Error,Q2.5,Q97.5,Taxa,germination,fresh,germinated,seedbank
41,76.39493388,0,ambient,0.974292862,0.008585418,0.954431845,0.987672137,P.virginiatum,>80%,100.054283,97.48217374,2.57210926
42,58.61823268,0,ambient,0.877726352,0.021935918,0.830618839,0.91629156,P.virginiatum,>80%,102.5721093,90.03024323,12.54186603
43,87.99096761,0,ambient,0.991052452,0.003942679,0.981508006,0.99667146,P.virginiatum,>80%,112.541866,111.5348923,1.006973715
44,78.94235239,0,ambient,0.979595337,0.007286415,0.962606735,0.990725948,P.virginiatum,>80%,101.0069737,98.94596044,2.061013276
45,53.62384637,0,ambient,0.817413161,0.025778278,0.763830467,0.86448091,P.virginiatum,>80%,102.0610133,83.42601548,18.6349978
46,64.22751876,0,ambient,0.924060748,0.017180588,0.886964911,0.953018168,P.virginiatum,>80%,118.6349978,109.6259448,9.009052983
47,80.35255928,0,ambient,0.982050077,0.006640905,0.966298874,0.992061223,P.virginiatum,>80%,109.009053,107.0523488,1.956704153
48,35.57111119,0,ambient,0.445194255,0.034467051,0.37695227,0.511418395,P.virginiatum,20-50%,101.9567042,45.39053897,56.56616518
49,52.11438978,0,ambient,0.79507845,0.026770294,0.739831208,0.844654715,P.virginiatum,50-80%,156.5661652,124.4823839,32.08378124
50,103.7017234,0,ambient,0.997860463,0.001267932,0.994598526,0.999442675,P.virginiatum,>80%,132.0837812,131.801183,0.282598202
51,81.29929651,0,ambient,0.983531609,0.006235583,0.968702505,0.992853555,P.virginiatum,>80%,100.2825982,98.63110516,1.651493041
52,123.7009932,0,ambient,0.999647369,0.000284046,0.99887289,0.999943311,P.virginiatum,>80%,101.651493,101.6156476,0.035845428
53,83.18822283,0,ambient,0.98613455,0.005490878,0.972967596,0.994241131,P.virginiatum,>80%,100.0358454,98.64880338,1.387042051
54,113.4121959,0,ambient,0.999111269,0.000615629,0.997471063,0.999815811,P.virginiatum,>80%,101.3870421,101.2969362,0.090105852
55,143.6296536,0,ambient,0.999939936,6.30E-05,0.99976453,0.99999411,P.virginiatum,>80%,100.0901059,100.084094,0.006011808
56,99.18512906,0,ambient,0.996774779,0.001766856,0.992300573,0.999065943,P.virginiatum,>80%,100.0060118,99.68347036,0.322541443
57,86.27421127,0,ambient,0.989535302,0.004443409,0.978802998,0.995952128,P.virginiatum,>80%,100.3225414,99.2726963,1.04984514
58,155.8328708,0,ambient,0.999979405,2.51E-05,0.999909732,0.999998528,P.virginiatum,>80%,101.0498451,101.047764,0.002081107
59,64.34195722,0,ambient,0.924810978,0.017084762,0.88790864,0.953559221,P.virginiatum,>80%,100.0020811,92.48302242,7.519058689
60,71.10575844,0,ambient,0.958611883,0.011857729,0.931823688,0.977814673,P.virginiatum,>80%,107.5190587,103.0690473,4.450011374
61,58.63860085,0,ambient,0.877932393,0.021918982,0.830844011,0.916478417,P.virginiatum,>80%,104.4500114,91.70004847,12.74996291
62,77.23722054,0,ambient,0.976181156,0.008136476,0.957238696,0.988789894,P.virginiatum,>80%,112.7499629,110.0643891,2.685573812
