year,imput_new,germ_perc,seedbank,scenario,species
4,107.8618742,0.091250742,98.0193982,Cc,P.virginianum
5,198.0193982,0.419431565,114.963812,Cc,P.virginianum
6,214.963812,0.205035163,170.8886718,Cc,P.virginianum
7,270.8886718,0.09092422,246.2583306,Cc,P.virginianum
8,346.2583306,0.999408209,0.20491255,Cc,P.virginianum
9,100.2049126,0.478553075,52.25154355,Cc,P.virginianum
10,152.2515436,0.744163388,38.95151914,Cc,P.virginianum
11,138.9515191,0.231645203,106.7640663,Cc,P.virginianum
12,206.7640663,0.988215924,2.436523391,Cc,P.virginianum
13,102.4365234,0.759728715,24.61255514,Cc,P.virginianum
14,124.6125551,0.059106808,117.2471048,Cc,P.virginianum
15,217.2471048,0.427378122,124.4004451,Cc,P.virginianum
16,224.4004451,0.066066645,209.5750604,Cc,P.virginianum
17,309.5750604,0.578406783,130.5147458,Cc,P.virginianum
18,230.5147458,0.065295794,215.4631023,Cc,P.virginianum
19,315.4631023,0.601378314,125.7504338,Cc,P.virginianum
20,225.7504338,0.12173445,198.2688288,Cc,P.virginianum
21,298.2688288,0.595708424,120.5875749,Cc,P.virginianum
22,220.5875749,0.016319072,216.9877904,Cc,P.virginianum
23,316.9877904,0.079259989,291.8633416,Cc,P.virginianum
24,391.8633416,0.003328135,390.5591677,Cc,P.virginianum
25,490.5591677,0.028785588,476.4381337,Cc,P.virginianum
26,576.4381337,0.092201315,523.2897795,Cc,P.virginianum
27,623.2897795,0.800978814,124.0478712,Cc,P.virginianum
28,224.0478712,0.887489245,25.20779525,Cc,P.virginianum
29,125.2077952,0.020458771,122.6461976,Cc,P.virginianum
30,222.6461976,0.986984648,2.897818593,Cc,P.virginianum
31,102.8978186,0.971471266,2.935544486,Cc,P.virginianum
32,102.9355445,0.741675592,26.59076359,Cc,P.virginianum
33,126.5907636,0.055689917,119.5409345,Cc,P.virginianum
34,219.5409345,0.956419158,9.567778855,Cc,P.virginianum
35,109.5677789,0.022889666,107.059809,Cc,P.virginianum
36,207.059809,0.324055038,139.9610347,Cc,P.virginianum
37,239.9610347,0.126711901,209.5551157,Cc,P.virginianum
38,309.5551157,0.553936584,138.0812123,Cc,P.virginianum
39,238.0812123,0.956595962,10.33368589,Cc,P.virginianum
40,110.3336859,0.003715438,109.9237479,Cc,P.virginianum
41,209.9237479,0.200045941,167.9293542,Cc,P.virginianum
42,267.9293542,0.99978123,0.058614898,Cc,P.virginianum
43,100.0586149,0.507151557,49.31373253,Cc,P.virginianum
44,149.3137325,0.849579026,22.45991715,Cc,P.virginianum
45,122.4599171,0.034485343,118.2368449,Cc,P.virginianum
46,218.2368449,0.174369181,180.183065,Cc,P.virginianum
47,280.183065,0.494836884,141.5381501,Cc,P.virginianum
48,241.5381501,0.98876672,2.713265782,Cc,P.virginianum
49,102.7132658,0.97895027,2.162086523,Cc,P.virginianum
50,102.1620865,0.133269315,88.54701521,Cc,P.virginianum
51,188.5470152,0.847792416,28.69828566,Cc,P.virginianum
52,128.6982857,0.02127317,125.9604652,Cc,P.virginianum
53,225.9604652,0.310988526,155.6893531,Cc,P.virginianum
54,255.6893531,0.0948405,231.439647,Cc,P.virginianum
55,331.439647,0.991017006,2.977320253,Cc,P.virginianum
56,102.9773203,0.243566747,77.8954693,Cc,P.virginianum
57,177.8954693,0.927190539,12.95247327,Cc,P.virginianum
58,112.9524733,0.491216178,57.46839106,Cc,P.virginianum
59,157.4683911,0.72769176,42.87994049,Cc,P.virginianum
60,142.8799405,0.979635072,2.909739673,Cc,P.virginianum
61,102.9097397,0.98024855,2.032616569,Cc,P.virginianum
62,102.0326166,0.100065146,91.82270791,Cc,P.virginianum
63,191.8227079,0.009390291,190.0214368,Cc,P.virginianum
64,290.0214368,0.867131255,38.53478435,Cc,P.virginianum
65,138.5347843,0.968307506,4.390512759,Cc,P.virginianum
66,104.3905128,0.001660402,104.2171826,Cc,P.virginianum
67,204.2171826,0.749666153,51.12247289,Cc,P.virginianum
68,151.1224729,0.057994222,142.3582426,Cc,P.virginianum
69,242.3582426,0.809610526,46.14245823,Cc,P.virginianum
70,146.1424582,0.876432446,18.05846611,Cc,P.virginianum
71,118.0584661,0.976928385,2.723799425,Cc,P.virginianum
72,102.7237994,0.056010868,96.97015025,Cc,P.virginianum
73,196.9701503,0.012312226,194.5450092,Cc,P.virginianum
74,294.5450092,0.888603497,32.81128394,Cc,P.virginianum
75,132.8112839,0.722467395,36.85946158,Cc,P.virginianum
76,136.8594616,0.111543708,121.5936497,Cc,P.virginianum
77,221.5936497,0.614698282,85.38041387,Cc,P.virginianum
78,185.3804139,0.947535774,9.725840014,Cc,P.virginianum
79,109.72584,0.135639916,94.84263632,Cc,P.virginianum
80,194.8426363,0.6324188,71.62049002,Cc,P.virginianum
81,171.62049,0.099586548,154.5293978,Cc,P.virginianum
82,254.5293978,0.786704313,54.29002275,Cc,P.virginianum
83,154.2900227,0.003587933,153.7364405,Cc,P.virginianum
84,253.7364405,0.355643235,163.496792,Cc,P.virginianum
85,263.496792,0.941711498,15.35883334,Cc,P.virginianum
86,115.3588333,0.854377141,16.79888314,Cc,P.virginianum
87,116.7988831,0.000150381,116.7813188,Cc,P.virginianum
88,216.7813188,0.966310557,7.303241835,Cc,P.virginianum
89,107.3032418,0.14362167,91.8921711,Cc,P.virginianum
90,191.8921711,0.010547642,189.8681611,Cc,P.virginianum
91,289.8681611,0.153153623,245.4738019,Cc,P.virginianum
92,345.4738019,0.019386585,338.7762447,Cc,P.virginianum
93,438.7762447,0.677489654,141.5098785,Cc,P.virginianum
94,241.5098785,0.997614494,0.576123212,Cc,P.virginianum
95,100.5761232,0.699014352,30.27196966,Cc,P.virginianum
96,130.2719697,0.995433231,0.594921961,Cc,P.virginianum
97,100.594922,0.017792977,98.80503887,Cc,P.virginianum
98,198.8050389,0.094906784,179.937092,Cc,P.virginianum
99,279.937092,0.052796379,265.1574273,Cc,P.virginianum
100,365.1574273,0.079976701,335.9533408,Cc,P.virginianum
1,100,0.999991882,0.000811847,ambient,C.canadensis
2,100.0008118,0.97809608,2.190409749,ambient,C.canadensis
